observation,action
"0.32697, 1.1680281, 0.69781053, -0.26666918, -0.19784503, 0.17925987, 0.0, 0.0","0.0, -0.007934812"
"0.3340372, 1.1614016, 0.6978085, -0.29334244, -0.18888207, 0.17925885, 0.0, 0.0","0.0, -0.004730369"
"0.34110442, 1.1541762, 0.6978065, -0.32001573, -0.17991915, 0.17925788, 0.0, 0.0","0.0, -0.0028992584"
"0.3481719, 1.146352, 0.69780463, -0.34668902, -0.1709563, 0.17925689, 0.0, 0.0","0.0, -0.001800592"
"0.3552394, 1.1379288, 0.6978029, -0.37336227, -0.16199352, 0.17925593, 0.0, 0.0","0.0, -0.001800592"
"0.36230707, 1.1289067, 0.69780123, -0.4000356, -0.15303075, 0.1792549, 0.0, 0.0","0.0, -0.001800592"
"0.36937484, 1.1192856, 0.69779956, -0.4267089, -0.14406806, 0.17925397, 0.0, 0.0","0.0, -0.001800592"
"0.37644273, 1.1090655, 0.69779813, -0.45338222, -0.1351054, 0.179253, 0.0, 0.0","0.0, -0.001800592"
"0.3835106, 1.0982466, 0.6977967, -0.4800556, -0.1261428, 0.179252, 0.0, 0.0","0.0, -0.001800592"
"0.39057866, 1.0868285, 0.69779533, -0.50672895, -0.11718024, 0.17925097, 0.0, 0.0","0.0, -0.001800592"
"0.3976468, 1.0748117, 0.6977941, -0.53340226, -0.108217746, 0.17924994, 0.0, 0.0","0.0, -0.001800592"
"0.40471506, 1.062196, 0.69779295, -0.5600756, -0.09925531, 0.17924893, 0.0, 0.0","0.18887906, 0.007599109"
"0.41183597, 1.0498285, 0.7030693, -0.5490944, -0.09030926, 0.17892101, 0.0, 0.0","0.3217261, 0.025055697"
"0.41902074, 1.037658, 0.70938253, -0.54039115, -0.081289954, 0.18038619, 0.0, 0.0","0.37916195, 0.033143103"
"0.42624635, 1.0253105, 0.7133678, -0.5482968, -0.07218858, 0.18202731, 0.0, 0.0","0.3970153, 0.02212592"
"0.43360233, 1.0130984, 0.7259556, -0.5423314, -0.0626489, 0.19079377, 0.0, 0.0","0.40021974, -0.022797327"
"0.4410302, 1.0007299, 0.7328921, -0.5493317, -0.052862708, 0.19572398, 0.0, 0.0","0.40021974, -0.06927702"
"0.44842118, 0.9885435, 0.72949594, -0.54131055, -0.043374225, 0.18976934, 0.0, 0.0","0.40382093, -0.14761803"
"0.45573568, 0.9766405, 0.72232306, -0.52878326, -0.03435695, 0.18034557, 0.0, 0.0","0.41840875, -0.22589801"
"0.46307594, 0.9648514, 0.72484773, -0.5237846, -0.025296118, 0.18121669, 0.0, 0.0","0.44557023, -0.30115664"
"0.470504, 0.95310116, 0.7332748, -0.52209586, -0.015878351, 0.1883551, 0.0, 0.0","0.49156162, -0.36811426"
"0.4780159, 0.9418668, 0.7413069, -0.4992372, -0.0061276103, 0.19501509, 0.0, 0.0","0.539201, -0.4156621"
"0.48539287, 0.9307122, 0.72846824, -0.49574783, 0.0029868202, 0.18228835, 0.0, 0.0","0.56160164, -0.44505143"
"0.4928257, 0.91944, 0.7337822, -0.50104433, 0.012363953, 0.18754283, 0.0, 0.0","0.5695975, -0.45652637"
"0.500141, 0.9083984, 0.72255003, -0.49083605, 0.021229515, 0.17731102, 0.0, 0.0","0.57222205, -0.45988342"
"0.50735885, 0.8974371, 0.71321046, -0.48731765, 0.029688774, 0.16918549, 0.0, 0.0","0.5752129, -0.46357617"
"0.5146983, 0.8866924, 0.7247366, -0.4777558, 0.038785834, 0.18194136, 0.0, 0.0","0.5895566, -0.4835963"
"0.5219439, 0.87634605, 0.7156799, -0.4600891, 0.047569234, 0.17566787, 0.0, 0.0","0.6150395, -0.5266274"
"0.5291914, 0.8666117, 0.7145741, -0.43299472, 0.057617445, 0.20096405, 0.0, 0.0","0.6427503, -0.5780206"
"0.53628457, 0.857562, 0.6981337, -0.40267876, 0.068666816, 0.22098744, 0.0, 0.0","0.6760155, -0.6293832"
"0.5432852, 0.8490712, 0.68761957, -0.3779875, 0.08099406, 0.24654508, 0.0, 0.0","0.70363474, -0.6905118"
"0.5503171, 0.8411532, 0.6890316, -0.35273725, 0.0950259, 0.28063667, 0.0, 0.0","0.725486, -0.73934144"
"0.5570928, 0.83339924, 0.66223896, -0.3456608, 0.110222325, 0.3039286, 0.0, 0.0","0.7422712, -0.7636952"
"0.5637437, 0.8263786, 0.64820105, -0.31335515, 0.12700905, 0.3357344, 0.0, 0.0","0.7482833, -0.77193516"
"0.5702726, 0.82007164, 0.63440144, -0.28198734, 0.14543678, 0.36855483, 0.0, 0.0","0.7484359, -0.7745293"
"0.5765066, 0.81445783, 0.6036055, -0.2515527, 0.16519703, 0.39520517, 0.0, 0.0","0.7509384, -0.77803886"
"0.5824496, 0.8093236, 0.5732539, -0.23066185, 0.18629985, 0.42205673, 0.0, 0.0","0.75124365, -0.77803886"
"0.5881448, 0.804156, 0.5472101, -0.2326286, 0.20874417, 0.4488864, 0.0, 0.0","0.75124365, -0.77803886"
"0.5935111, 0.7991245, 0.5131973, -0.22710367, 0.23243976, 0.47391215, 0.0, 0.0","0.75124365, -0.77803886"
"0.5986797, 0.7946161, 0.49194938, -0.2045066, 0.25778222, 0.5068497, 0.0, 0.0","0.75124365, -0.77803886"
"0.6036512, 0.79034317, 0.47084063, -0.19476214, 0.28472352, 0.53882635, 0.0, 0.0","0.75124365, -0.77803886"
"0.60840684, 0.7863749, 0.447887, -0.18202132, 0.31328893, 0.5713088, 0.0, 0.0","0.75124365, -0.77803886"
"0.612974, 0.7830393, 0.4275299, -0.15485367, 0.34369642, 0.60815036, 0.0, 0.0","0.75429547, -0.77803886"
"0.6172184, 0.78003687, 0.39414555, -0.14099762, 0.3756297, 0.63866633, 0.0, 0.0","0.75444806, -0.7390057"
"0.6213514, 0.77707773, 0.38173613, -0.1401867, 0.40931913, 0.6737887, 0.0, 0.0","0.6404309, -0.4235664"
"0.6252777, 0.7742665, 0.3615067, -0.13432033, 0.4430484, 0.674585, 0.0, 0.0","0.46095157, -0.30796227"
"0.6290304, 0.77144796, 0.34458563, -0.1353634, 0.47683322, 0.6756959, 0.0, 0.0","0.29825738, -0.023987548"
"0.6324873, 0.76876646, 0.3156912, -0.12990625, 0.5104434, 0.6722031, 0.0, 0.0","0.21131016, 0.079989016"
"0.635779, 0.76609796, 0.2994948, -0.13006805, 0.54430825, 0.6772966, 0.0, 0.0","0.18338573, 0.20587787"
"0.63896525, 0.76327, 0.28931093, -0.13793021, 0.5784567, 0.6829707, 0.0, 0.0","0.18619342, 0.3569445"
"0.64192903, 0.76055574, 0.26743764, -0.13367082, 0.612945, 0.68976676, 0.0, 0.0","0.23471786, 0.5182043"
"0.6447504, 0.7577638, 0.25469905, -0.13735265, 0.64639884, 0.66907793, 0.0, 0.0","0.32920316, 0.6915189"
"0.64754564, 0.75479424, 0.25384027, -0.14528356, 0.67848694, 0.64176273, 0.0, 0.0","0.42710653, 0.8388012"
"0.65006196, 0.7518584, 0.22806081, -0.14350969, 0.70871556, 0.6045723, 0.0, 0.0","0.47080904, 0.89983827"
"0.6522999, 0.7491891, 0.20224854, -0.13126394, 0.7370224, 0.5661377, 0.0, 0.0","0.48167363, 0.9198889"
"0.6542505, 0.7463283, 0.1756368, -0.13918711, 0.76321596, 0.52387106, 0.0, 0.0","0.46897793, 0.93490404"
"0.65604705, 0.74341124, 0.16215512, -0.14104971, 0.7873683, 0.48304647, 0.0, 0.0","0.44343394, 0.95327616"
"0.65746003, 0.7405173, 0.12572442, -0.13923435, 0.8093445, 0.43952402, 0.0, 0.0","0.40253913, 0.97470015"
"0.6585623, 0.73765284, 0.0965355, -0.13705672, 0.8291156, 0.39542308, 0.0, 0.0","0.35886714, 0.9891659"
"0.6593418, 0.7349881, 0.06607505, -0.12722252, 0.8466332, 0.35035273, 0.0, 0.0","0.31989503, 1.0000305"
"0.65978146, 0.7324838, 0.033813484, -0.11904216, 0.8618474, 0.30428234, 0.0, 0.0","0.2946257, 1.0000305"
"0.65991, 0.7298438, 0.004364031, -0.12399841, 0.87478024, 0.25865707, 0.0, 0.0","0.28598896, 1.0000305"
"0.6598364, 0.7268397, -0.014248257, -0.1390639, 0.88545316, 0.21345901, 0.0, 0.0","0.28180793, 1.0000305"
"0.6596149, 0.72365457, -0.027490819, -0.14595981, 0.89382476, 0.16743223, 0.0, 0.0","0.27924436, 1.0000305"
"0.65888727, 0.72053736, -0.07659555, -0.14173679, 0.8998805, 0.121116854, 0.0, 0.0","0.27884763, 1.0000305"
"0.6577789, 0.71759593, -0.11316381, -0.13269219, 0.9035831, 0.074051775, 0.0, 0.0","0.27884763, 1.0000305"
"0.65646154, 0.7144312, -0.13261893, -0.14139596, 0.90498686, 0.028074723, 0.0, 0.0","0.27884763, 1.0000305"
"0.65485173, 0.71097237, -0.16041946, -0.15326227, 0.9041134, -0.017468382, 0.0, 0.0","0.27872553, 1.0000305"
"0.65289843, 0.707617, -0.1933182, -0.14742668, 0.9008932, -0.06440315, 0.0, 0.0","0.27872553, 1.0000305"
"0.65074825, 0.70395654, -0.2115399, -0.1597784, 0.8953899, -0.11006578, 0.0, 0.0","0.27863398, 1.0000305"
"0.6480776, 0.70033735, -0.2620857, -0.15674518, 0.88757646, -0.15626898, 0.0, 0.0","0.27863398, 1.0000305"
"0.6449665, 0.6966408, -0.30460456, -0.15901282, 0.877471, -0.20210841, 0.0, 0.0","0.27863398, 1.0000305"
"0.64150333, 0.6931579, -0.33822164, -0.14835992, 0.8650198, -0.24902585, 0.0, 0.0","0.27863398, 1.0000305"
"0.6377651, 0.6895801, -0.36404914, -0.15148468, 0.8502771, -0.29485208, 0.0, 0.0","0.27863398, 1.0000305"
"0.633914, 0.6857178, -0.37367162, -0.16308221, 0.83326876, -0.34016767, 0.0, 0.0","0.27863398, 1.0000305"
"0.6299763, 0.681653, -0.38051897, -0.17109366, 0.81398994, -0.3855757, 0.0, 0.0","0.27863398, 1.0000305"
"0.6256264, 0.67769283, -0.41985378, -0.16552398, 0.79243296, -0.4311399, 0.0, 0.0","0.27863398, 1.0000305"
"0.6209871, 0.6739935, -0.44678482, -0.15306504, 0.7685831, -0.47699672, 0.0, 0.0","0.27863398, 1.0000305"
"0.6162588, 0.6702822, -0.45357865, -0.15284851, 0.7424808, -0.52204645, 0.0, 0.0","0.27863398, 1.0000305"
"0.6111643, 0.6666218, -0.48806372, -0.14992546, 0.7141476, -0.5666653, 0.0, 0.0","0.27863398, 1.0000305"
"0.60575944, 0.66283554, -0.5168327, -0.15499064, 0.6836145, -0.6106628, 0.0, 0.0","0.27863398, 1.0000305"
"0.6001619, 0.65867513, -0.5337655, -0.1712009, 0.6509156, -0.65397775, 0.0, 0.0","0.27863398, 1.0000305"
"0.5943141, 0.65469235, -0.5563384, -0.16303518, 0.6160262, -0.69778794, 0.0, 0.0","0.27863398, 1.0000305"
"0.58809376, 0.6508627, -0.5910304, -0.15609379, 0.57896256, -0.7412726, 0.0, 0.0","0.27863398, 1.0000305"
"0.58159, 0.6470277, -0.61674875, -0.15635292, 0.53975266, -0.7841975, 0.0, 0.0","0.27863398, 1.0000305"
"0.5748209, 0.64350045, -0.6405784, -0.14285158, 0.49840397, -0.82697517, 0.0, 0.0","0.27863398, 1.0000305"
"0.5678487, 0.6401911, -0.6581537, -0.13355823, 0.45494303, -0.8692192, 0.0, 0.0","0.27863398, 1.0000305"
"0.56079847, 0.63694984, -0.66318685, -0.13110667, 0.4094057, -0.9107472, 0.0, 0.0","0.27863398, 1.0000305"
"0.553676, 0.63407093, -0.6676038, -0.11579149, 0.3618098, -0.95191956, 0.0, 0.0","0.27863398, 0.9854122"
"0.5464228, 0.63156825, -0.67794937, -0.10007933, 0.31219283, -0.99234045, 0.0, 0.0","0.27863398, 0.6700949"
"0.5390712, 0.6288437, -0.6855705, -0.11125307, 0.26112133, -1.0214307, 0.0, 0.0","0.18677329, 0.15952025"
"0.5315474, 0.62612516, -0.7018312, -0.112639986, 0.2097717, -1.0269939, 0.0, 0.0","0.0, 0.057985168"
"0.52401894, 0.6228411, -0.70175374, -0.13952203, 0.15843138, -1.0268075, 0.0, 0.0","0.0, -0.006775109"
"0.51648664, 0.6189918, -0.7016929, -0.16640642, 0.107100375, -1.0266213, 0.0, 0.0","0.0, -0.09277627"
"0.50895214, 0.61457735, -0.7016489, -0.19329257, 0.055778686, -1.0264353, 0.0, 0.0","0.0, -0.26349682"
"0.5014165, 0.60959786, -0.7016219, -0.2201799, 0.00446627, -1.0262493, 0.0, 0.0","0.17166662, -0.5411237"
"0.49389887, 0.6043607, -0.7010094, -0.23336758, -0.04564223, -1.0021709, 0.0, 0.0","0.27857295, -0.7123936"
"0.4862114, 0.5990613, -0.71936435, -0.2377565, -0.09450814, -0.97731924, 0.0, 0.0","0.3683279, -0.9457381"
"0.47840804, 0.59424967, -0.73298985, -0.21751745, -0.1415569, -0.94097626, 0.0, 0.0","0.3980224, -0.95883054"
"0.47067976, 0.5896855, -0.7277641, -0.20775166, -0.18662722, -0.90140665, 0.0, 0.0","0.40522477, -0.96197397"
"0.4629077, 0.58543783, -0.73437643, -0.1947506, -0.22981763, -0.86380863, 0.0, 0.0","0.40522477, -0.96514785"
"0.45529813, 0.5816313, -0.7205307, -0.17601477, -0.27099425, -0.8235332, 0.0, 0.0","0.40672016, -0.96514785"
"0.4476615, 0.57821625, -0.72550184, -0.15933694, -0.31029394, -0.78599393, 0.0, 0.0","0.40672016, -0.96514785"
"0.439995, 0.5748343, -0.7307862, -0.15841778, -0.34768364, -0.7477939, 0.0, 0.0","0.40672016, -0.96514785"
"0.4323147, 0.5713739, -0.7344498, -0.1623086, -0.38313767, -0.70908046, 0.0, 0.0","0.40672016, -0.96514785"
"0.42484206, 0.56793946, -0.7160865, -0.16138293, -0.41652787, -0.6678039, 0.0, 0.0","0.40864283, -0.96514785"
"0.41736308, 0.56435233, -0.7189705, -0.16828734, -0.44795895, -0.6286219, 0.0, 0.0","0.41685233, -0.96514785"
"0.4101366, 0.5608204, -0.69602406, -0.16579331, -0.47730136, -0.58684754, 0.0, 0.0","0.43079928, -0.96514785"
"0.40302458, 0.5573053, -0.6867681, -0.16490754, -0.5046287, -0.5465478, 0.0, 0.0","0.44752342, -0.96514785"
"0.39622506, 0.55415285, -0.6576968, -0.14852239, -0.5298768, -0.50496376, 0.0, 0.0","0.45747244, -0.9558092"
"0.38963288, 0.5512255, -0.6390337, -0.13817112, -0.55310714, -0.46460667, 0.0, 0.0","0.46339306, -0.9530015"
"0.3833251, 0.5485068, -0.6126443, -0.12845823, -0.57427275, -0.4233122, 0.0, 0.0","0.46394238, -0.94998014"
"0.37723035, 0.5462916, -0.5932159, -0.10560002, -0.59348875, -0.38431868, 0.0, 0.0","0.46684164, -0.9497665"
"0.37130824, 0.543795, -0.5779119, -0.117494375, -0.61060804, -0.34238577, 0.0, 0.0","0.46684164, -0.9497665"
"0.36551294, 0.54121494, -0.567063, -0.120570734, -0.62569904, -0.30181968, 0.0, 0.0","0.47340313, -0.9474471"
"0.3598605, 0.53858614, -0.5545649, -0.12204702, -0.63876253, -0.26126975, 0.0, 0.0","0.4784692, -0.9474471"
"0.35432702, 0.5357596, -0.5444238, -0.1300828, -0.6497752, -0.22025326, 0.0, 0.0","0.4812769, -0.9474471"
"0.34894866, 0.53266627, -0.5306503, -0.14114234, -0.6586957, -0.17840995, 0.0, 0.0","0.48399305, -0.94647056"
"0.34409848, 0.5298144, -0.47963864, -0.12953986, -0.665425, -0.13458587, 0.0, 0.0","0.48429823, -0.94647056"
"0.33952397, 0.5270341, -0.4537619, -0.12551042, -0.6700722, -0.092943944, 0.0, 0.0","0.48429823, -0.94647056"
"0.33527404, 0.5243756, -0.42297563, -0.11922895, -0.6726203, -0.05096153, 0.0, 0.0","0.48084962, -0.93832207"
"0.33138353, 0.522114, -0.3886443, -0.10073622, -0.6731364, -0.010322874, 0.0, 0.0","0.3988769, -0.84130377"
"0.32755795, 0.51965743, -0.38355544, -0.10864608, -0.67187077, 0.025313472, 0.0, 0.0","0.27225563, -0.6864528"
"0.3238082, 0.5171802, -0.3770461, -0.10900393, -0.6692639, 0.05213809, 0.0, 0.0","0.18277535, -0.5101169"
"0.32027847, 0.5144906, -0.35601217, -0.11794, -0.66544676, 0.07634252, 0.0, 0.0","0.13406782, -0.21408734"
"0.3168823, 0.5116856, -0.34230322, -0.12326013, -0.66206515, 0.06763221, 0.0, 0.0","0.0, -0.09698782"
"0.3134864, 0.50828075, -0.34230414, -0.14992757, -0.65868354, 0.06763215, 0.0, 0.0","0.0, -0.039796136"
"0.31009054, 0.504276, -0.342305, -0.17659499, -0.6553019, 0.06763209, 0.0, 0.0","0.0, 0.0040589618"
"0.3066947, 0.4996713, -0.3423059, -0.20326242, -0.6519203, 0.067632, 0.0, 0.0","0.0, 0.029419843"
"0.30329895, 0.49446675, -0.3423068, -0.22992986, -0.6485387, 0.06763197, 0.0, 0.0","0.0, 0.050965913"
"0.2999031, 0.4886623, -0.34230766, -0.2565973, -0.6451571, 0.067631945, 0.0, 0.0","0.0, 0.08661153"
"0.29650745, 0.48225805, -0.34230855, -0.28326476, -0.6417755, 0.0676319, 0.0, 0.0","0.0, 0.14026307"
"0.2931118, 0.4752539, -0.34230942, -0.3099322, -0.6383939, 0.06763187, 0.0, 0.0","0.0, 0.20032349"
"0.28971624, 0.46764988, -0.34231028, -0.33659968, -0.63501227, 0.06763181, 0.0, 0.0","0.0, 0.26767784"
"0.2863207, 0.45944595, -0.34231114, -0.36326712, -0.63163066, 0.06763174, 0.0, 0.0","0.0, 0.3127842"
"0.2829253, 0.4506421, -0.342312, -0.3899346, -0.62824905, 0.06763168, 0.0, 0.0","0.0, 0.3394574"
"0.27952996, 0.4412384, -0.34231287, -0.41660205, -0.62486744, 0.06763164, 0.0, 0.0","0.0, 0.35099337"
"0.27613458, 0.43123484, -0.3423137, -0.44326946, -0.6214858, 0.06763162, 0.0, 0.0","0.0, 0.35526597"
"0.2727394, 0.4206314, -0.34231457, -0.46993694, -0.6181043, 0.06763154, 0.0, 0.0","0.0, 0.35850093"
"0.26934424, 0.40942812, -0.34231544, -0.49660438, -0.6147227, 0.06763149, 0.0, 0.0","0.0, 0.35859248"
"0.26594916, 0.39762497, -0.34231624, -0.52327186, -0.6113412, 0.067631334, 0.0, 0.0","0.0, 0.35859248"
"0.262554, 0.38522187, -0.34231704, -0.5499393, -0.6079596, 0.06763126, 0.0, 0.0","0.0, 0.36542863"
"0.2591589, 0.37221897, -0.34231788, -0.57660675, -0.6045781, 0.06763096, 0.0, 0.0","0.0, 0.3937193"
"0.25576392, 0.35861614, -0.3423187, -0.6032742, -0.6011965, 0.0676309, 0.0, 0.0","0.0, 0.4433424"
"0.25236902, 0.3444134, -0.34231955, -0.6299417, -0.597815, 0.06763055, 0.0, 0.0","0.0, 0.50508136"
"0.2490077, 0.32957354, -0.33798987, -0.65870935, -0.5955968, 0.0443632, 0.0, 0.0","0.0, 0.58214056"
"0.24568395, 0.31410113, -0.33323756, -0.68727267, -0.59456813, 0.020573493, 0.0, 0.0","0.17072055, 0.643788"
"0.24257068, 0.29851156, -0.31096262, -0.693032, -0.59499615, -0.008560447, 0.0, 0.0","0.25205237, 0.696585"
"0.23962517, 0.282614, -0.2929008, -0.70730585, -0.596965, -0.039377432, 0.0, 0.0","0.3608814, 0.7302469"
"0.23700657, 0.26637742, -0.25901586, -0.72291905, -0.6003659, -0.06801765, 0.0, 0.0","0.46671957, 0.75807977"
"0.23479176, 0.2503092, -0.21726637, -0.71607625, -0.6054146, -0.100975335, 0.0, 0.0","0.60136724, 0.80272835"
"0.23300247, 0.2344866, -0.17326102, -0.7058595, -0.6122379, -0.13646464, 0.0, 0.0","0.6562395, 0.82714313"
"0.23155384, 0.21857359, -0.13774955, -0.7105944, -0.6208265, -0.17177251, 0.0, 0.0","0.6742149, 0.8352306"
"0.23067245, 0.20299752, -0.07965537, -0.69635683, -0.6311606, -0.20668247, 0.0, 0.0","0.6793115, 0.8357799"
"0.23016834, 0.18743291, -0.040514212, -0.69664043, -0.643313, -0.24304721, 0.0, 0.0","0.68068486, 0.8383129"
"0.23001948, 0.17144981, -0.0037767913, -0.71599144, -0.65708965, -0.27553266, 0.0, 0.0","0.68224126, 0.8383129"
"0.23040104, 0.1553484, 0.050423823, -0.7220155, -0.6724636, -0.3074786, 0.0, 0.0","0.68224126, 0.8386486"
"0.2313033, 0.13955219, 0.103814006, -0.70938075, -0.689713, -0.34498864, 0.0, 0.0","0.68224126, 0.8386486"
"0.23244801, 0.123486124, 0.12932298, -0.7223583, -0.70885026, -0.38274556, 0.0, 0.0","0.68224126, 0.8386486"
"0.23392448, 0.10706192, 0.16358715, -0.73924804, -0.7297383, -0.4177611, 0.0, 0.0","0.68224126, 0.8386486"
"0.23596363, 0.09102002, 0.22100481, -0.7233802, -0.7525904, -0.45704246, 0.0, 0.0","0.68224126, 0.8386486"
"0.23846722, 0.07470797, 0.26832443, -0.736447, -0.7771468, -0.4911286, 0.0, 0.0","0.6771142, 0.84127325"
"0.24119453, 0.058238637, 0.29172975, -0.74472374, -0.8037614, -0.53229254, 0.0, 0.0","0.6771142, 0.84160894"
"0.24453191, 0.041593846, 0.35337102, -0.753697, -0.8320639, -0.5660502, 0.0, 0.0","0.6741844, 0.8417615"
"0.24824877, 0.024521552, 0.3918992, -0.7739764, -0.86215323, -0.6017862, 1.0, 0.0","0.66408277, 0.8453017"
"0.25234565, 0.009373793, 0.42638358, -0.6892092, -0.88095206, -0.3634668, 1.0, 0.0","0.63722646, 0.8517411"
"0.25736588, -0.005308583, 0.50366247, -0.65410906, -0.8833093, -0.0465694, 1.0, 0.0","0.5971862, 0.85317546"
"0.2629055, -0.019697025, 0.5448949, -0.63228, -0.86995995, 0.26625398, 1.0, 0.0","0.5604419, 0.84508806"
"0.26924506, -0.03342929, 0.61419, -0.5952056, -0.8406201, 0.5863556, 1.0, 0.0","0.51023895, 0.7892697"
"0.27636003, -0.0463094, 0.66473085, -0.5398001, -0.7737611, 1.3371801, 1.0, 0.0","0.12552263, 0.13953063"
"-0.0073389052, 1.4082756, -0.74336064, -0.11756651, 0.008510682, 0.16838229, 0.0, 0.0","0.0, 0.0010986663"
"-0.014678287, 1.4050543, -0.74235636, -0.14323428, 0.016831089, 0.16642417, 0.0, 0.0","0.0, -0.0034485916"
"-0.022017956, 1.401234, -0.7423823, -0.16990836, 0.025146563, 0.16632517, 0.0, 0.0","0.0, -0.005859554"
"-0.02935791, 1.3968146, -0.74240744, -0.19658454, 0.033460952, 0.16630341, 0.0, 0.0","0.0, -0.006286813"
"-0.036698245, 1.3917961, -0.7424317, -0.22325799, 0.041774016, 0.16627675, 0.0, 0.0","0.0, -0.006286813"
"-0.044038773, 1.3861785, -0.7424561, -0.2499311, 0.05008574, 0.16624986, 0.0, 0.0","0.0, -0.006286813"
"-0.051379584, 1.3799617, -0.7424804, -0.27660438, 0.05839614, 0.16622321, 0.0, 0.0","0.0, -0.006286813"
"-0.058720686, 1.3731458, -0.7425045, -0.303278, 0.06670518, 0.16619655, 0.0, 0.0","0.0, -0.006286813"
"-0.06606217, 1.3657306, -0.7425285, -0.32995182, 0.075012915, 0.16617008, 0.0, 0.0","0.0, -0.016083255"
"-0.073403835, 1.3577164, -0.74255234, -0.35662588, 0.08331932, 0.16614369, 0.0, 0.0","0.0, -0.02743614"
"-0.08074598, 1.3491031, -0.74257606, -0.3833002, 0.091624424, 0.16611733, 0.0, 0.0","0.0, -0.031006806"
"-0.08808823, 1.3398907, -0.7425996, -0.4099747, 0.09992821, 0.16609107, 0.0, 0.0","0.0, -0.020020142"
"-0.09543095, 1.330079, -0.742623, -0.43664947, 0.10823069, 0.16606495, 0.0, 0.0","0.0, 0.044343393"
"-0.10277395, 1.3196682, -0.74264616, -0.46332446, 0.116531864, 0.16603893, 0.0, 0.0","0.0, 0.19788201"
"-0.11011734, 1.3086582, -0.7426692, -0.48999965, 0.12483178, 0.16601318, 0.0, 0.0","0.13098544, 0.47441024"
"-0.1175849, 1.2974504, -0.75465715, -0.49880567, 0.13270861, 0.15755084, 0.0, 0.0","0.10635701, 0.8438368"
"-0.12513933, 1.286456, -0.76161134, -0.4892047, 0.1388611, 0.12306094, 0.0, 0.0","0.0, 1.0000305"
"-0.1326272, 1.2748752, -0.75323534, -0.5151311, 0.14330874, 0.08896081, 0.0, 0.0","0.0, 1.0000305"
"-0.14005041, 1.2627089, -0.74512404, -0.54098696, 0.14610112, 0.055852544, 0.0, 0.0","0.0, 1.0000305"
"-0.14740534, 1.2499508, -0.7365593, -0.56713843, 0.14716561, 0.021291807, 0.0, 0.0","0.0, 1.0000305"
"-0.15469189, 1.2366116, -0.72796184, -0.59278107, 0.14646909, -0.013931538, 0.0, 0.0","0.0, 1.0000305"
"-0.16190557, 1.2226847, -0.7188026, -0.6187241, 0.14391816, -0.051023334, 0.0, 0.0","0.0, 1.0000305"
"-0.16904315, 1.2081834, -0.7092512, -0.64407265, 0.13940428, -0.0902859, 0.0, 0.0","0.0, 1.0000305"
"-0.17609349, 1.1931101, -0.69824225, -0.66930926, 0.1326348, -0.13540187, 0.0, 0.0","0.0, 1.0000305"
"-0.1830738, 1.1774452, -0.6894769, -0.69548035, 0.124105915, -0.17059292, 0.0, 0.0","0.0, 1.0000305"
"-0.18996744, 1.1611856, -0.67917323, -0.72182626, 0.11396637, -0.20280309, 0.0, 0.0","0.0, 1.0000305"
"-0.19680032, 1.1443267, -0.67097664, -0.7483929, 0.10174101, -0.24450712, 0.0, 0.0","0.0, 1.0000305"
"-0.2035397, 1.1268737, -0.65924203, -0.77475095, 0.08716613, -0.29149774, 0.0, 0.0","0.0, 1.0000305"
"-0.21019849, 1.1088412, -0.6490798, -0.8005489, 0.07053538, -0.33261508, 0.0, 0.0","0.0, 1.0000305"
"-0.21678118, 1.0902286, -0.639506, -0.8264461, 0.051971845, -0.37127084, 0.0, 0.0","0.0, 1.0000305"
"-0.22329693, 1.0710247, -0.6310805, -0.8529228, 0.03172008, -0.40503532, 0.0, 0.0","0.0, 1.0000305"
"-0.22972932, 1.0512314, -0.62060416, -0.87937444, 0.009369421, -0.4470133, 0.0, 0.0","0.0, 1.0000305"
"-0.23608312, 1.0308429, -0.6107387, -0.906181, -0.014955437, -0.48649734, 0.0, 0.0","0.0, 1.0000305"
"-0.24234042, 1.0098593, -0.5986413, -0.9330857, -0.04170275, -0.53494656, 0.0, 0.0","0.0, 1.0000305"
"-0.24851136, 0.9882819, -0.58784884, -0.96005917, -0.07061254, -0.5781963, 0.0, 0.0","0.0, 1.0000305"
"-0.25460967, 0.9661135, -0.57882106, -0.987016, -0.10133109, -0.6143714, 0.0, 0.0","0.0, 1.0000305"
"-0.26063448, 0.94333833, -0.56970197, -1.014774, -0.13390526, -0.65148365, 0.0, 0.0","0.13226722, 1.0000305"
"-0.26666403, 0.9203686, -0.56834257, -1.0243428, -0.16845688, -0.6910328, 0.0, 0.0","0.44557023, 0.9045076"
"-0.27250466, 0.8978368, -0.5478552, -1.005928, -0.20481405, -0.72714394, 0.0, 0.0","0.60899687, 0.55742055"
"-0.27805695, 0.8759038, -0.5183885, -0.9803416, -0.24209316, -0.7455829, 0.0, 0.0","0.7108371, 0.22507401"
"-0.28341445, 0.8544644, -0.49930972, -0.95928967, -0.27930257, -0.744189, 0.0, 0.0","0.7964721, -0.10379345"
"-0.2887352, 0.8334541, -0.49533358, -0.94126946, -0.31721908, -0.7583309, 0.0, 0.0","0.8995636, -0.3960387"
"-0.2937954, 0.81237334, -0.47034207, -0.945176, -0.354497, -0.7455587, 0.0, 0.0","0.8958098, -0.51499987"
"-0.2987713, 0.7916762, -0.46309957, -0.9288097, -0.39103097, -0.73067987, 0.0, 0.0","0.8512528, -0.61165196"
